reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
33,81,2,54,54,0,l,2.1257803330081515,None,0,54,54,11,396.410437750048,,396.40240575000644,396.410437750048,397.3930322499946,397.3930322499946,397.3995461250306,399.52827329200227,l,2.1257803330081515,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
81,90,120,55,55,0,t,2.9770394589868374,None,0,55,55,72,399.54270566703053,,399.5351199590368,399.54270566703053,400.5268433340243,400.5268433340243,400.5329448340344,403.5115414590109,t,2.9770394589868374,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
41,73,330,56,56,0,t,3.4499773330171593,None,0,56,56,94,403.52602916699834,,403.51811441703467,403.52602916699834,404.50992504204623,404.50992504204623,404.51596612500725,407.9616721670027,t,3.4499773330171593,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
24,52,330,57,57,0,t,2.0271812499850057,None,0,57,57,91,407.9759002090432,,407.96820879203733,407.9759002090432,408.95972475002054,408.95972475002054,408.96580466703745,410.99534483399475,t,2.0271812499850057,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
77,127,14,58,58,0,t,3.4940174170187674,None,0,58,58,43,411.00946562504396,,411.00186712504365,411.00946562504396,411.99346066702856,411.99346066702856,411.99945425003534,415.4954124170472,t,3.4940174170187674,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
13,56,21,59,59,0,t,5.856892208976205,None,0,59,59,47,415.5093832919956,,415.50167900003726,415.5093832919956,416.49345533404266,416.49345533404266,416.4995162090054,422.36239008401753,t,5.856892208976205,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
63,88,1,60,60,0,l,4.996762000024319,None,0,60,60,8,422.37646079203114,,422.36847658402985,422.37646079203114,423.37786541704554,423.37786541704554,423.37786541704554,428.37936150003225,l,4.996762000024319,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
19,42,10,61,61,0,l,4.2391160420374945,None,0,61,61,35,428.39542470901506,,428.3869150420069,428.39542470901506,429.3775919590262,429.3775919590262,429.3942027920275,433.6188827920123,l,4.2391160420374945,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
21,68,330,62,62,0,t,1.9424295840435661,None,0,62,62,90,433.6321012090193,,433.6247823750018,433.6321012090193,434.6183181250235,434.6183181250235,434.62773004203336,436.56305945903296,t,1.9424295840435661,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
70,90,210,63,63,0,t,6.778286501008552,None,0,63,63,82,436.5784945000196,,436.57048166700406,436.5784945000196,437.56096129200887,437.56096129200887,437.5675145420246,444.3466481670039,t,6.778286501008552,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
75,98,325,64,64,0,t,2.95196020900039,None,0,64,64,89,444.36223170900485,,444.3540907500428,444.36223170900485,445.3442352919956,445.3442352919956,445.3614129589987,448.30290470900945,t,2.95196020900039,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
80,112,1,65,65,0,l,5.691018208977766,None,0,65,65,9,448.3165146250394,,448.3094473340316,448.3165146250394,449.30270658404334,449.30270658404334,449.31102508399636,454.9968596250401,l,5.691018208977766,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
31,78,21,66,66,0,t,4.132542126055341,None,0,66,66,49,455.01251691702055,,455.00497275003,455.01251691702055,455.9951809589984,455.9951809589984,456.00155687500956,460.1302717500366,t,4.132542126055341,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
26,47,274,67,67,0,t,4.733528874989133,None,0,67,67,88,460.14455187501153,,460.13692075002473,460.14455187501153,461.12830020900583,461.12830020900583,461.13444695901126,465.86367987503763,t,4.733528874989133,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
89,121,150,68,68,0,t,2.663060292019509,None,0,68,68,76,465.87902291701175,,465.8707542089978,465.87902291701175,466.8619271670468,466.8619271670468,466.8680077090394,469.5307887090021,t,2.663060292019509,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
33,66,30,69,69,0,t,7.748757541994564,None,0,69,69,54,469.54752004204784,,469.5398702920065,469.54752004204784,470.52847083401866,470.52847083401866,470.5456683340017,478.2808615420363,t,7.748757541994564,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
